date,script,model,time
2019-03-15 23:58:53.651,PartialModelCreator.eol,Replication.uml,17332
2019-03-15 23:59:17.121,PartialModelCreator.eol,CarDoorLock.uml,6033
2019-03-15 23:59:28.346,PartialModelCreator.eol,CarDoorLock.uml,4957
2019-03-15 23:59:39.045,PartialModelCreator.eol,CarDoorLock.uml,6552
2019-03-15 23:59:51.857,PartialModelCreator.eol,CarDoorLock.uml,5061
2019-03-16 00:00:03.672,PartialModelCreator.eol,CarDoorLock.uml,8107
2019-03-16 00:00:18.022,PartialModelCreator.eol,CarDoorLock.uml,7662
2019-03-16 00:00:31.72,PartialModelCreator.eol,rover.uml,4144
2019-03-16 00:00:42.465,PartialModelCreator.eol,rover.uml,3726
2019-03-16 00:00:53.532,PartialModelCreator.eol,rover.uml,3620
2019-03-16 00:01:03.766,PartialModelCreator.eol,rover.uml,3748
2019-03-16 00:01:13.563,PartialModelCreator.eol,rover.uml,3795
2019-03-16 00:01:22.926,PartialModelCreator.eol,rover.uml,3403
2019-03-16 00:10:36.987,PartialModelCreator.eol,rover.uml,4699
2019-03-16 00:12:52.282,PartialModelCreator.eol,rover.uml,3502
2019-03-16 00:14:41.315,PartialModelCreator.eol,rover.uml,4365
2019-03-16 00:16:15.473,PartialModelCreator.eol,rover.uml,4596
2019-03-16 00:17:02.544,PartialModelCreator.eol,rover.uml,4109
2019-03-16 00:18:57.969,PartialModelCreator.eol,rover.uml,3869
2019-03-16 00:19:52.301,PartialModelCreator.eol,rover.uml,4370
2019-03-16 00:21:05.945,PartialModelCreator.eol,rover.uml,6064
2019-03-16 00:21:52.499,PartialModelCreator.eol,rover.uml,3432
2019-03-16 00:01:34.763,PartialModelCreator.eol,Replication.uml,1228983
2019-03-16 00:24:09.564,PartialModelCreator.eol,rover.uml,3607
2019-03-16 00:26:10.252,PartialModelCreator.eol,rover.uml,4370
2019-03-16 00:28:34.541,PartialModelCreator.eol,rover.uml,4105
2019-03-16 00:29:29.607,PartialModelCreator.eol,rover.uml,4656
2019-03-16 00:33:54.211,PartialModelCreator.eol,rover.uml,17092
2019-03-16 00:34:42.434,PartialModelCreator.eol,rover.uml,18888
2019-03-16 00:35:46.956,PartialModelCreator.eol,rover.uml,17698
2019-03-16 00:36:12.48,PartialModelCreator.eol,rover.uml,4044
2019-03-16 00:36:53.786,PartialModelCreator.eol,rover.uml,18860
2019-03-16 00:38:08.899,PartialModelCreator.eol,model.uml,2200
2019-03-16 00:38:16.584,PartialModelCreator.eol,model.uml,6276
2019-03-16 00:38:28.528,PartialModelCreator.eol,model.uml,10161
2019-03-16 00:38:44.933,PartialModelCreator.eol,model.uml,12293
2019-03-16 00:39:03.775,PartialModelCreator.eol,model.uml,9856
2019-03-16 00:39:18.838,PartialModelCreator.eol,model.uml,13570
2019-03-16 00:39:38.666,PartialModelCreator.eol,model.uml,21132
2019-03-16 00:40:05.673,PartialModelCreator.eol,model.uml,15080
2019-03-16 00:40:26.313,PartialModelCreator.eol,DigitalWatch.uml,7318
2019-03-16 00:40:39.812,PartialModelCreator.eol,DigitalWatch.uml,12098
2019-03-16 00:40:58.088,PartialModelCreator.eol,DigitalWatch.uml,21094
2019-03-16 00:41:25.087,PartialModelCreator.eol,DigitalWatch.uml,20500
2019-03-16 00:41:51.643,PartialModelCreator.eol,DigitalWatch.uml,24047
2019-03-16 00:42:21.292,PartialModelCreator.eol,DigitalWatch.uml,24108
2019-03-16 00:42:50.878,PartialModelCreator.eol,DigitalWatch.uml,26781
2019-03-16 00:43:22.813,PartialModelCreator.eol,DigitalWatch.uml,30409
2019-03-16 00:43:58.836,PartialModelCreator.eol,Replication.uml,7283
2019-03-16 00:44:11.85,PartialModelCreator.eol,Replication.uml,9035
2019-03-16 00:44:26.493,PartialModelCreator.eol,Replication.uml,13924
2019-03-16 00:44:46.401,PartialModelCreator.eol,Replication.uml,16399
2019-03-16 00:45:08.1,PartialModelCreator.eol,Replication.uml,15148
2019-03-16 00:45:29.816,PartialModelCreator.eol,Replication.uml,22111
2019-03-16 00:45:58.605,PartialModelCreator.eol,Replication.uml,27453
2019-03-16 00:46:31.624,PartialModelCreator.eol,Replication.uml,23454
2019-03-16 00:47:00.327,PartialModelCreator.eol,CarDoorLock.uml,2018
2019-03-16 00:47:08.065,PartialModelCreator.eol,CarDoorLock.uml,2897
2019-03-16 00:47:16.547,PartialModelCreator.eol,CarDoorLock.uml,7028
2019-03-16 00:47:28.922,PartialModelCreator.eol,CarDoorLock.uml,8458
2019-03-16 00:47:43.195,PartialModelCreator.eol,CarDoorLock.uml,8503
2019-03-16 00:47:57.006,PartialModelCreator.eol,CarDoorLock.uml,8432
2019-03-16 00:48:10.676,PartialModelCreator.eol,CarDoorLock.uml,9294
2019-03-16 00:48:25.809,PartialModelCreator.eol,CarDoorLock.uml,10440
2019-03-16 00:48:41.517,PartialModelCreator.eol,rover.uml,3054
2019-03-16 00:48:50.171,PartialModelCreator.eol,rover.uml,5082
2019-03-16 00:49:00.715,PartialModelCreator.eol,rover.uml,8356
2019-03-16 00:49:14.652,PartialModelCreator.eol,rover.uml,10734
2019-03-16 00:49:31.413,PartialModelCreator.eol,rover.uml,9773
2019-03-16 00:49:47.113,PartialModelCreator.eol,rover.uml,12821
2019-03-16 00:50:05.832,PartialModelCreator.eol,rover.uml,15541
2019-03-16 00:50:28.14,PartialModelCreator.eol,rover.uml,16899
2019-03-16 00:53:09.65,PartialModelCreator.eol,model.uml,6481
2019-03-16 00:53:21.733,PartialModelCreator.eol,model.uml,9953
2019-03-16 00:53:37.888,PartialModelCreator.eol,DigitalWatch.uml,8453
2019-03-16 00:53:52.242,PartialModelCreator.eol,DigitalWatch.uml,16289
2019-03-16 00:54:14.523,PartialModelCreator.eol,Replication.uml,6369
2019-03-16 00:54:26.67,PartialModelCreator.eol,Replication.uml,14349
2019-03-16 00:54:46.693,PartialModelCreator.eol,CarDoorLock.uml,2710
2019-03-16 00:54:55.149,PartialModelCreator.eol,CarDoorLock.uml,5848
2019-03-16 00:55:06.72,PartialModelCreator.eol,rover.uml,2823
2019-03-16 00:55:14.825,PartialModelCreator.eol,rover.uml,7821
2019-03-16 01:02:35.891,PartialDetection.eol,rover.uml,589
2019-03-16 01:05:15.729,PartialDetection.eol,model.uml,453
2019-03-16 01:05:23.892,PartialDetection.eol,Partial_10_model.uml,396
2019-03-16 01:05:31.809,PartialDetection.eol,Partial_20_model.uml,428
2019-03-16 01:05:39.564,PartialDetection.eol,Partial_30_model.uml,393
2019-03-16 01:05:48.279,PartialDetection.eol,Partial_40_model.uml,422
2019-03-16 01:05:56.16,PartialDetection.eol,Partial_50_model.uml,409
2019-03-16 00:57:40.958,PartialModelCreator.eol,Replication.uml,501203
2019-03-16 01:06:04.125,PartialDetection.eol,Partial_60_model.uml,491
2019-03-16 01:06:15.092,PartialDetection.eol,Partial_70_model.uml,510
2019-03-16 01:06:26.619,PartialDetection.eol,Partial_80_model.uml,402
2019-03-16 01:06:37.999,PartialDetection.eol,Partial_90_model.uml,771
2019-03-16 01:06:50.182,PartialDetection.eol,DigitalWatch.uml,768
2019-03-16 01:06:59.031,PartialDetection.eol,Partial_10_DigitalWatch.uml,691
2019-03-16 01:07:08.332,PartialDetection.eol,Partial_20_DigitalWatch.uml,717
2019-03-16 01:07:17.152,PartialDetection.eol,Partial_30_DigitalWatch.uml,661
2019-03-16 01:07:25.148,PartialDetection.eol,Partial_40_DigitalWatch.uml,697
2019-03-16 01:07:33.531,PartialDetection.eol,Partial_50_DigitalWatch.uml,657
2019-03-16 01:07:42.24,PartialDetection.eol,Partial_60_DigitalWatch.uml,596
2019-03-16 01:07:50.149,PartialDetection.eol,Partial_70_DigitalWatch.uml,599
2019-03-16 01:07:58.113,PartialDetection.eol,Partial_80_DigitalWatch.uml,580
2019-03-16 01:08:05.835,PartialDetection.eol,Partial_90_DigitalWatch.uml,505
2019-03-16 01:08:13.388,PartialDetection.eol,Replication.uml,906
2019-03-16 01:08:21.539,PartialDetection.eol,Partial_10_Replication.uml,554
2019-03-16 01:08:29.739,PartialDetection.eol,Partial_20_Replication.uml,937
2019-03-16 01:08:38.215,PartialDetection.eol,Partial_30_Replication.uml,642
2019-03-16 01:08:46.567,PartialDetection.eol,Partial_40_Replication.uml,607
2019-03-16 01:08:54.279,PartialDetection.eol,Partial_50_Replication.uml,624
2019-03-16 01:09:01.964,PartialDetection.eol,Partial_60_Replication.uml,567
2019-03-16 01:10:42.158,PartialDetection.eol,model.uml,517
2019-03-16 01:10:51.049,PartialDetection.eol,Partial_10_model.uml,398
2019-03-16 01:11:02.651,PartialDetection.eol,Partial_20_model.uml,404
2019-03-16 01:11:09.818,PartialDetection.eol,Partial_30_model.uml,387
2019-03-16 01:11:17.232,PartialDetection.eol,Partial_40_model.uml,443
2019-03-16 01:11:24.781,PartialDetection.eol,Partial_50_model.uml,770
2019-03-16 01:11:32.755,PartialDetection.eol,Partial_60_model.uml,401
2019-03-16 01:12:00.52,PartialDetection.eol,model.uml,533
2019-03-16 01:12:08.072,PartialDetection.eol,Partial_10_model.uml,411
2019-03-16 01:12:17.168,PartialDetection.eol,Partial_20_model.uml,369
2019-03-16 01:12:25.358,PartialDetection.eol,Partial_30_model.uml,430
2019-03-16 01:12:32.911,PartialDetection.eol,Partial_40_model.uml,399
2019-03-16 01:12:41.567,PartialDetection.eol,Partial_50_model.uml,644
2019-03-16 01:12:57.005,PartialDetection.eol,Partial_60_model.uml,441
2019-03-16 01:13:06.214,PartialDetection.eol,Partial_70_model.uml,617
2019-03-16 01:13:14.57,PartialDetection.eol,Partial_80_model.uml,435
2019-03-16 01:13:25.161,PartialDetection.eol,Partial_90_model.uml,531
2019-03-16 01:13:37.469,PartialDetection.eol,DigitalWatch.uml,917
2019-03-16 01:13:47.299,PartialDetection.eol,Partial_10_DigitalWatch.uml,793
2019-03-16 01:13:55.759,PartialDetection.eol,Partial_20_DigitalWatch.uml,838
2019-03-16 01:14:03.793,PartialDetection.eol,Partial_30_DigitalWatch.uml,925
2019-03-16 01:14:12.956,PartialDetection.eol,Partial_40_DigitalWatch.uml,577
2019-03-16 01:14:20.694,PartialDetection.eol,Partial_50_DigitalWatch.uml,660
2019-03-16 01:14:28.83,PartialDetection.eol,Partial_60_DigitalWatch.uml,604
2019-03-16 01:14:36.7,PartialDetection.eol,Partial_70_DigitalWatch.uml,736
2019-03-16 01:14:45.189,PartialDetection.eol,Partial_80_DigitalWatch.uml,534
2019-03-16 01:14:53.208,PartialDetection.eol,Partial_90_DigitalWatch.uml,495
2019-03-16 01:15:00.921,PartialDetection.eol,Replication.uml,701
2019-03-16 01:15:09.199,PartialDetection.eol,Partial_10_Replication.uml,655
2019-03-16 01:15:17.513,PartialDetection.eol,Partial_20_Replication.uml,709
2019-03-16 01:15:25.614,PartialDetection.eol,Partial_30_Replication.uml,728
2019-03-16 01:15:33.03,PartialDetection.eol,Partial_40_Replication.uml,525
2019-03-16 01:15:42.29,PartialDetection.eol,Partial_50_Replication.uml,605
2019-03-16 01:15:50.051,PartialDetection.eol,Partial_60_Replication.uml,645
